Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,About Heading (product.metafields.about.heading),Max in Cart (product.metafields.custom.max_in_cart),Variant Images Grouping List (product.metafields.custom.variant_images_grouping_list),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),30 Day Sales Quantity (product.metafields.ohs.30_day_sales_quantity),Attributes (product.metafields.ohs.attributes),Bullets (product.metafields.ohs.bullets),Container Qty (product.metafields.ohs.container_qty),Container Servings (product.metafields.ohs.container_servings),Container Type (product.metafields.ohs.container_type),Dose Phrase (product.metafields.ohs.dose_phrase),Fact Card Product (product.metafields.ohs.fact_card_product),FAQs (product.metafields.ohs.faqs),Health Goals (product.metafields.ohs.health_goals),Ingredients (product.metafields.ohs.ingredients),Parent Product (product.metafields.ohs.parent_product),Sample Product (product.metafields.ohs.sample_product),WS Product (product.metafields.ohs.ws_product),Visibility to Search & Google (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Flavor (product.metafields.shopify.flavor),Genre (product.metafields.shopify.genre),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Included / US Retail,Price / US Retail,Compare At Price / US Retail,Status
male-advantage,Male Advantage,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Shelf Pak,"Bulk Discountable, Direct Script, Tier 1 - Retail, TruShield, Visibility - All",true,Title,Default Title,,,,,,,,850019587883,283.49523125,shopify,49,deny,manual,130.00,,true,true,,,,,850019587883,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/maleadvantagepak_noingredients.png?v=1785338744,1,"",false,,,,,,,,,,,,,,"The Nutrients Men Need, Morning and Night",,,,31,"Dairy Free
Gluten Free
Non-GMO
Whole Food
TruShield Certified","Cover your daily nutrition with 135+ nutrients, twice daily
Support strength, recovery, and sharp mental performance
Sustain all day energy, heart health, and longevity
Specially formulated to meet men's unique nutritional needs",60,60,Packets,,,,,pygeum-herb; eurycoma-longifolia-root; tribulus-terrestris,,,ws-male-advantage,,,,,,,,,,,,peptide-support-pak; big-c-nutrient-pak-1; big-c-nutrient-pak-2,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
male-advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/MaleAdvantagePak_Supplementfacts.png?v=1785338750,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female-advantage,Female Advantage,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Shelf Pak,"Bulk Discountable, Direct Script, Tier 1 - Retail, TruShield, Visibility - All",true,Title,Default Title,,,,,,,,850019587890,283.49523125,shopify,50,deny,manual,130.00,,true,true,,,,,850019587890,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/Femaleadvantagepak_noingredients.png?v=1785338769,1,"",false,,,,,,,,,,,,,,"The Nutrients Women Need, Morning and Night",,,,59,"Dairy Free
Gluten Free
Opti-Blend
Whole Food
Non-GMO
TruShield Certified","Cover your daily nutrition with 135+ nutrients, twice daily
Support hormone balance, mood, and healthy aging
Nourish your bones, joints, skin, hair, and nails
Specially formulated to meet women's unique nutritional needs",60,60,Packets,,,,,dong-quai-root; raspberries; mexican-wild-yam-root; damiana-leaf,,,ws-female-advantage,,,,,,,,,,,,peptide-support-pak; big-c-nutrient-pak-1; big-c-nutrient-pak-2,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
female-advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/FemaleAdvantagePak_SupplementFacts.png?v=1785338775,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ws-female-advantage,WS - Female Advantage,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Shelf Pak, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587890-WS,396.89332375,shopify,0,deny,manual,71.50,130.00,true,false,,,,,850019587890-WS,,,,false,,,525,,,,,,,,,,,,,,,95,,,,,,,,,,,female-advantage,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-male-advantage,WS - Male Advantage,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Shelf Pak, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587883-WS,396.89332375,shopify,474,deny,manual,71.50,130.00,true,false,,,,,850019587883-WS,,,,false,,,525,,,,,,,,,,,,,,,45,,,,,,,,,,,male-advantage,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
3-pack-essential-glutathione-amazon-only,3 pack - Essential Glutathione (Amazon Only),"<p>Glutathione, a powerful endogenous antioxidant, has been the subject of growing scientific interest over the last decade. Deficiency is increasingly recognized as a risk factor in coronary artery disease, asthma, neurodegenerative disorders, cognitive-behavioral problems, and various types of cancer.<br><br>Glutathione (gloo-tah-thai-own) a tripeptide comprised of the amino acids glutamate, cysteine and glycine. It is a naturally occurring protein made by and used by every cell in the body. It also contains a sulfur molecule, which plays a major role in its antioxidant and detoxification functions. It’s something your body produces less and less of as you age.<br><br>As an antioxidant, glutathione protects cells against the oxidative stress that damages cell membrane proteins. Without adequate glutathione, mitochondrial oxygen metabolism produces large numbers of free radicals, which causes cells to perform poorly or die. A number of studies have shown that oxidative stress increases with aging, and leads to degenerative diseases, like heart disease, cancer, diabetes, and more. Supplementing with organic glutathione has been shown to:</p>
    <ul role=""list"">
      <li>Reduce oxidative stress<br>
</li>
      <li>Improve psoriasis<br>
</li>
      <li>Improve insulin resistance<br>
</li>
      <li>Improve circulation<br>
</li>
      <li>Aid in fighting autoimmune diseases<br>
</li>
      <li>Reduce inflammation<br>
</li>
    </ul>
    <p>Glutathione is considered the most important antioxidant because it is the only one capable of working with enzymes. One enzyme, glutathione peroxidase (GPx), works with glutathione to prevent cell membranes from becoming oxidized, which would otherwise lead to cell death. Glutathione and vitamin C work interactively to quench free radicals. Essential Glutathione combines the absorbable tri-peptide form of glutathione with vitamin C in an effervescent wafer, making it the most potent, highly effective glutathione available.<br></p>
    <h3>Glutathione Research</h3>
    <p>An article cited in Journal of Cancer Science and Therapy indicated that glutathione deficiency leads to increased levels of oxidative stress, which might lead to cancer. It also stated that elevated glutathione levels raised antioxidant levels and resistance to oxidative stress in cancer cells.<br><br>The chronic inflammation caused by autoimmune diseases can increase oxidative stress. These diseases include rheumatoid arthritis, celiac disease, and lupus. According to one study on the effects glutathione has on immunity, glutathione helped reduce oxidative stress by either stimulating or reducing the body’s immunological response.<br><br>Autoimmune diseases attack the mitochondria in specific cells. Glutathione works to protect cell mitochondria by eliminating free radicals.<br><br>Long-term high blood sugar is associated with reduced amounts of glutathione. This can lead to oxidative stress and tissue damage. A study found that dietary supplementation with cysteine and glycine boosted glutathione levels. It also lowered oxidative stress and damage in people with uncontrolled diabetes, despite high sugar levels.<br><br><strong>Glutathione: The Mother of Antioxidants<br></strong>There are over 100,000 glutathione citations on PubMed, and research continues worldwide. Interest in this molecule has extended into the general public consciousness. It’s been called both the Superhero of Antioxidants, the Great Protector, and the Mother of Antioxidants.<br><br>In addition to being an antioxidant, glutathione is also a powerful detoxifier and also plays a major role in immune function.<br><br>OHS has always known the importance of glutathione and how critical it is to increase amounts in the body. But the research has been very clear that taking glutathione orally has been unsuccessful and possibly even dangerous because you are putting a protein in the body that if not accepted could be looked at as an invader.<br><br>Our glutathione is made up of 3 amino acids, glutamine, cysteine and glycine. We’ve solved the potential health dangers by creating a phenomenal absorption by using tri-peptide glutathione in a special citrus carrier and effervescent delivery system. This breakthrough transforms the glutathione supplement industry providing high dose glutathione delivered safely to the cellular level.<br><br>Pairing Essential Glutathione with the Optimal Fruit &amp; Veggie Plus powder is--in our opinion--the most potently powerful antioxidant blitz a person can take to load the body with powerful health-promoting antioxidants.</p>",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,"","Bottle, Harris Essential, Standard Size, TruShield, Visibility - Admin Only",false,Title,Default Title,,,,,,,,850019587104-AMZ,90.718474,shopify,2334,deny,manual,37.00,,true,true,,,,,850019587104,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/Essential-Ingredient-Glutathione-2023.png?v=1705359916,1,"Image of a toub of Essentials Glutathione with electrolyte tablets. Around the toub are glutathione powder, oranges, glutathione tables, and a glass with a dissolving tablet inside.",false,Essential Glutathione | Optimal Health Systems,,,,,,,,,,,,,The Master Antioxidant,,,,800,"Dairy Free
Gluten Free
GMP
Non-GMO
Opti-Blend
Vegetarian
Whole Food
TruShield Certified","Now with electrolytes!
Balances out oxidative stress and acts as a detoxifier
The body’s natural research-proven master antioxidant
Corrects glutathione deficiencies (associated with aging)
Protects against damage to cell membranes",20,20,Wafers,Take 1 effervescent wafer dissolved in water 1-2 times daily or as prescribed by a health professional,essential-glutathione-fact-cards,how-do-you-guarantee-potency; where-is-the-expiration-date-on-the-product,"Energy
Immunity
Longevity",glutathione; vitamin-c,,,ws-essential-glutathione,1,,,,,,,,,,optimal-fruit-and-veggie-plus; essential-protect,,,,,lb,,,true,,,true,,,true,,,true,,,true,,,active
3-pack-essential-glutathione-amazon-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/Glutathione_Benefit_PNG.png?v=1760467138,2,Glutathione Benefit PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-essential-glutathione-amazon-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/Essential_Glutathione_Product_Review_Photo_PNG.png?v=1759939979,3,Essential Glutathione Product Review Photo PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-essential-glutathione-amazon-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/7629/3934/files/Essential-Glutathione-Supplement-Facts.png?v=1759939979,4,Essential Glutathione Supplement Facts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
